Wall time,Step,Value
1684260449.7154634,5,1.5585561990737915
1684260450.630752,18,1.5831693410873413
1684260451.0837643,24,1.5546165704727173
1684260452.1918283,40,1.541759967803955
1684260452.3168492,42,1.543545126914978
1684260452.544148,45,1.5465130805969238
1684260452.684747,47,1.5466861724853516
1684260453.1463723,53,1.544812798500061
1684260453.396319,56,1.5427578687667847
1684260454.447281,71,1.5364583730697632
1684260454.651881,74,1.5360444784164429
1684260454.995549,79,1.5365214347839355
1684260455.5579154,87,1.5341476202011108
1684260456.1545339,94,1.5317338705062866
1684260456.9264755,102,1.5314059257507324
1684260457.2270484,105,1.5320781469345093
1684260457.320774,106,1.5323354005813599
1684260458.0333676,113,1.534507393836975
1684260459.301441,126,1.5386435985565186
1684260460.5540557,139,1.5514745712280273
1684260461.3507402,150,1.5628628730773926
1684260461.7125053,155,1.5661203861236572
1684260461.9340837,158,1.5682228803634644
1684260462.590177,167,1.5754294395446777
1684260462.6526647,168,1.5761525630950928
1684260463.373739,178,1.5816514492034912
1684260463.7330697,183,1.5844231843948364
1684260463.8736522,185,1.585851788520813
1684260463.9361029,186,1.5865122079849243
1684260464.2250621,190,1.5895713567733765
1684260464.805358,198,1.5962196588516235
1684260465.3833442,206,1.6028281450271606
1684260465.4458303,207,1.6035765409469604
1684260465.7818859,212,1.6076034307479858
1684260466.547328,223,1.6178871393203735
1684260466.9769185,229,1.6239451169967651
1684260467.3205845,234,1.6295274496078491
1684260467.523698,237,1.6329318284988403
1684260468.343862,249,1.647063136100769
1684260468.7187684,255,1.654722809791565
1684260469.1093426,260,1.661634922027588
1684260469.570159,267,1.6715829372406006
1684260469.8749478,271,1.6769171953201294
1684260470.0155323,273,1.6801615953445435
1684260471.344987,292,1.708921194076538
1684260471.688619,297,1.7174632549285889
1684260471.7511368,298,1.719002604484558
1684260472.0947702,303,1.7269985675811768
1684260472.4775236,308,1.7350431680679321
1684260472.618148,310,1.7382322549819946
1684260473.1648626,318,1.7517796754837036
1684260473.2430086,319,1.7532997131347656
1684260473.735432,326,1.7656227350234985
1684260474.016635,330,1.7721459865570068
1684260474.6258528,339,1.7888857126235962
1684260475.204228,347,1.803713321685791
1684260476.3145604,363,1.8344635963439941
1684260476.6038644,367,1.8423011302947998
1684260477.00999,373,1.8542523384094238
1684260477.2912078,377,1.8626636266708374
1684260477.4341576,379,1.8667293787002563
1684260480.3759491,421,1.9587002992630005
1684260480.446538,422,1.961173415184021
1684260480.5715086,424,1.9651960134506226
1684260481.0089056,430,1.9783308506011963
1684260481.6274195,439,1.9986714124679565
1684260481.7523925,441,2.003434419631958
1684260481.822788,442,2.0053775310516357
1684260482.0258667,445,2.0114693641662598
1684260482.4476786,451,2.02508544921875
1684260483.0725377,460,2.0453426837921143
1684260483.2679513,463,2.0517475605010986
